"DateTime";"G2G";"G2B";"G2P";"B2G";"P2G";"B2B";"B2P";"P2B";"P2P"
"2024-03-31";19;110;537;2806;8887;120765;367895;1664273;2157631
"2024-04-30";22;441;1130;3567;9766;129381;377450;1683488;2139536
"2024-05-31";21;276;3322;3618;10613;133352;394782;1806447;2268305
"2024-06-30";23;331;6138;3583;9157;134726;391383;1818649;2292764
"2024-07-31";23;229;6024;4092;9605;147166;411369;1888686;2319437
"2024-08-31";23;243;5099;4164;9361;151703;432566;1995018;2411203
"2024-09-30";22;298;1249;4262;10020;151309;425654;1950681;2350236
"2024-10-31";23;165;1926;4648;10353;165096;439511;2023650;2450236
"2024-11-30";24;246;1312;4389;9834;163110;433312;2063991;2495055
"2024-12-31";31;230;1769;4935;10870;175297;484898;2306604;2724597
"2025-01-31";22;127;1274;6187;15566;178750;451060;2110396;2295378
"2025-02-28";29;194;991;5546;13588;178032;439228;2057528;2290001
"2025-03-31";31;255;646;5839;14684;189291;505874;2338977;2508829
"2025-04-30";32;195;1398;5957;14384;191892;512406;2378133;2492955
"2025-05-31";34;267;5975;6085;16364;202793;536457;2514369;2647794
"2025-06-30";33;289;5999;5829;14243;198496;532001;2461178;2580299
"2025-07-31";38;327;6576;6325;14637;213147;536634;2559383;2659204
"2025-08-31";37;297;3305;6209;13605;216511;564442;2702979;2732003
"2025-09-30";41;337;1151;6666;14838;223985;565701;2660253;2659575
"2025-10-31";49;315;1263;6860;13981;241218;587789;2813643;2786896
"2025-11-30";46;348;1831;6201;12279;235821;581688;2860455;2761188
"2025-12-31";64;402;1435;7146;14022;263208;648428;3153246;3010678
"2026-01-31";47;266;686;8337;24387;257006;592157;2906021;2574285
"2026-02-28";55;382;1495;7304;16297;250567;560998;2730046;2419125
